region,startup_count
SF Bay,186
Boston,109
New York,65
Los Angeles,64
unknown,56
San Diego,46
Washington DC,35
Seattle,33
Chicago,30
Philadelphia,25
Denver,23
Minneapolis,22
Atlanta,21
Austin,16
Houston,16
Dallas,16
Raleigh-Durham,13
Beijing,12
TBD,12
London,11
Saint Louis,10
Phoenix,10
Tokyo,9
Salt Lake City,8
Cleveland,8
Charlotte,7
Fort Lauderdale,7
Palm Beach,7
Toronto,7
Nashville,6
Kansas City,6
Melville,6
Miami,6
Vancouver,6
Princeton,6
China - Other,6
Tel Aviv,5
Portland,5
Rochester,5
Indianapolis,5
Petach - Tikva,5
Calgary,4
Milwaukee,4
Detroit,4
Paris,4
Pittsburg,4
Santa Barbara,4
Ontario,3
Moscow,3
Madison,3
Tulsa,3
United States - Other,3
Honolulu,3
Hauppauge,3
Merrimack,3
San Antonio,3
Shanghai,3
Washington - Other,2
Qu̩bec,2
Bridgewater,2
New Haven,2
Montreal,2
Reno,2
Oslo,2
Louisville,2
Tampa,2
Prague,2
California - Other,2
Amsterdam,2
Roanoke,2
Munich,2
Parsippany,2
Little Rock,2
Melbourne,2
Waterloo,2
Albuquerque,2
Ness Ziona,2
Hsinchu,2
Portsmouth,2
Cincinnati,2
Huntsville,2
Bristol,2
Berkshire,2
Orlando,2
Shelton,2
Jacksonville,2
Bangalore,2
nanjing,2
Sarasota,2
Baltimore,2
Shenzhen,2
Sacramento,2
Saxonburg,1
Lee,1
Notting Hill,1
Burnaby,1
Lawrence,1
Hod Hasharon,1
Kanata,1
Las Vegas,1
Basel,1
Dublin,1
Essex,1
Walldorf,1
Milan,1
Leiden,1
East Aurora,1
Singapore,1
Woonsocket,1
Sophia Antipolis,1
Red Bank,1
South Plainfield,1
South Windsor,1
Summit,1
Hartford,1
Herzliya,1
Redwood,1
Belfast,1
Rock Hill,1
Schaffhausen,1
Germany - Other,1
Ottawa,1
Uppsala,1
Middlefield,1
Providence,1
Eindhoven,1
Nashua,1
Warren,1
Balsham,1
Shenyang,1
Cheshire,1
Kitchener,1
Bedminster,1
Norwalk,1
Anchorage,1
Greenville,1
West Haven,1
Holmdel,1
Danbury,1
Malad,1
Brookfield,1
Marlboro,1
Ronkonkoma,1
Mississauga,1
New Britain,1
Des Moines,1
LaFox,1
Xinyu City,1
East Norriton,1
Attleboro,1
Kyoto,1
Columbus,1
Zurich,1
Swansea,1
United Kingdom - Other,1
Satellite Beach,1
New Orleans,1
Midland,1
Taipei City,1
England,1
Hangzhou,1
Mankato,1
Rosh Ha'ayin,1
Savannah,1
Port Townsend,1
Park Ridge,1
Kings Langley,1
Bentonville,1
Australia - Other,1
Chennai,1
Singapore - Other,1
Norfolk,1
White River Junction,1
Stony Brook,1
Hamburg,1
Ghent/Zwijnaarde,1
Indiana - Other,1
Fairfield,1
Venlo,1
West Hills,1
Geneva,1
Incline Village,1
Livingston,1
Ramat Gan,1
Knoxville,1
Switzerland,1
Chesterbrook,1
The Hague,1
Bethpage,1
Harrisburg,1
Bedford,1
Latham,1
Florham Park,1
Longmont,1
New Brunswick,1
Corning,1
Birmingham,1
Westbrook,1
Hudson,1
Memphis,1
Oxford,1
Rutherford,1
Wallingford,1
Whitehouse Station,1
Franklin Lakes,1
Morristown,1
Tainan,1
Boise,1
Westfield,1
Seoul,1
Pawtucket,1
Watford,1
Anaheim Hills,1
Chaoyang District,1
Sydney NSW,1
Bryanston,1
Chiyoda-ku,1
Jerusalem,1
Michigan - Other,1
Ponte Vedra,1
Lynchburg,1
Rehovot,1
Ocala,1
Islandia,1
Oakbrook,1
Cheshunt,1
Paso Robles,1
Alberta,1
North Sydney,1
Guangzhou,1
Buenos Aires,1
Windsor,1
Tucson,1
Texas - Other,1
Luxembourg - Other,1
Biel,1
Clarence,1
Lund,1
Saskatchewan,1
NW Atlanta,1
Blacksburg,1
BOULOGNE BILLANCOURT CEDEX,1
Gurgaon,1
Corpus Christi,1
Orange,1
Quebec,1
Netherlands - Other,1
Hopland,1
Canada - Other,1
Liberty Lake,1
Miamisburg,1
Migdal HaEmeq,1
West Windsor,1
Somers,1
Finland - Other,1
